WKT,name
"POINT (-83.027 42.4934)",Warren city
"POINT (-84.5601 42.7142)",Lansing city
"POINT (-83.9501 43.4199)",Saginaw city
"POINT (-78.8487 42.9018)",Buffalo city
"POINT (-83.6921 43.0236)",Flint city
"POINT (-76.3012 40.042)",Lancaster city
"POINT (-75.1339 40.0077)",Philadelphia city
"POINT (-74.7641 40.2237)",Trenton city
"POINT (-75.4756 40.5961)",Allentown city
"POINT (-75.6649 41.4044)",Scranton city
"POINT (-74.1913 40.6658)",Elizabeth city
"POINT (-74.1725 40.7245)",Newark city
"POINT (-73.9249 40.6943)",New York city
"POINT (-74.0686 40.7184)",Jersey City city
"POINT (-73.6089 40.6629)",Hempstead city
"POINT (-73.2522 40.7839)",Brentwood city
"POINT (-73.8673 40.9466)",Yonkers city
"POINT (-73.9912 41.1542)",New City city
"POINT (-73.1954 41.1918)",Bridgeport city
"POINT (-75.9093 42.1014)",Binghamton city
"POINT (-72.6834 41.7661)",Hartford city
"POINT (-72.5395 42.1155)",Springfield city
"POINT (-76.1437 43.0407)",Syracuse city
"POINT (-77.6162 43.168)",Rochester city
"POINT (-73.7987 42.6664)",Albany city
"POINT (-73.2316 44.4876)",Burlington city
"POINT (-71.4187 41.823)",Providence city
"POINT (-71.3295 42.1163)",Norfolk city
"POINT (-71.0852 42.3188)",Boston city
"POINT (-70.9664 42.4781)",Lynn city
"POINT (-71.3217 42.6389)",Lowell city
"POINT (-71.4447 42.9848)",Manchester city
"POINT (-70.2715 43.6773)",Portland city
"LINESTRING (-87.9895 44.5148, -87.4082 46.544)",Line 232
"POINT (-121.6317 36.6883)",Salinas city
"POINT (-119.7939 36.783)",Fresno city
"POINT (-115.2654 36.2333)",Las Vegas city
"POINT (-113.5752 37.0758)",St. George city
"POINT (-122.4685 37.6862)",Daly City city
"POINT (-122.4449 37.7558)",San Francisco city
"POINT (-121.848 37.3012)",San Jose city
"POINT (-122.2166 37.7904)",Oakland city
"POINT (-122.7067 38.4458)",Santa Rosa city
"POINT (-122.0016 37.9722)",Concord city
"POINT (-121.8161 39.7578)",Chico city
"POINT (-121.3109 37.9765)",Stockton city
"POINT (-121.4685 38.5677)",Sacramento city
"POINT (-119.8483 39.5497)",Reno city
"POINT (-104.7605 38.8674)",Colorado Springs city
"POINT (-104.8758 39.762)",Denver city
"POINT (-105.0656 40.5477)",Fort Collins city
"POINT (-111.9311 40.7776)",Salt Lake City city
"POINT (-104.7902 41.135)",Cheyenne city
