WKT,name
"LINESTRING (-83.6921 43.0236, -83.1457 42.5817)",Flint
"LINESTRING (-83.1457 42.5817, -83.027 42.4934)",Troy
"LINESTRING (-83.027 42.4934, -83.1024 42.3834)",Warren
"LINESTRING (-83.1024 42.3834, -83.731 42.2759)",Detroit
"LINESTRING (-83.731 42.2759, -83.5827 41.6638)",Ann Arbor
"LINESTRING (-84.5601 42.7142, -85.5882 42.2749)",Lansing
"LINESTRING (-87.4909 41.6168, -86.2696 41.6767)",Hammond
"LINESTRING (-86.8593 40.3991, -85.1436 41.0888)",Lafayette
"LINESTRING (-85.1436 41.0888, -83.5827 41.6638)",Fort Wayne
"LINESTRING (-88.1499 41.5188, -87.7593 41.8445)",Toledo
"LINESTRING (-87.6866 41.8375, -87.7593 41.8445)",Chicago
"LINESTRING (-87.6866 41.8375, -87.4909 41.6168)",Cicero
"LINESTRING (-86.2696 41.6767, -85.5882 42.2749)",South Bend
"LINESTRING (-82.184 41.4409, -81.6805 41.4764)",Lorain
"LINESTRING (-81.6805 41.4764, -81.5219 41.0798)",Cleveland
"LINESTRING (-81.5219 41.0798, -80.3458 40.9956)",Akron
"LINESTRING (-80.3458 40.9956, -79.9763 40.4397)",New Castle
"LINESTRING (-79.9763 40.4397, -80.0733 42.1167)",Pittsburgh
"LINESTRING (-80.0733 42.1167, -78.8487 42.9018)",Erie
"LINESTRING (-78.8487 42.9018, -77.6162 43.168)",Buffalo
"LINESTRING (-77.6162 43.168, -76.1437 43.0407)",Rochester
"LINESTRING (-76.1437 43.0407, -73.2316 44.4876)",Syracuse
"LINESTRING (-73.7987 42.6664, -72.6834 41.7661)",Albany
"LINESTRING (-72.5395 42.1155, -72.6834 41.7661)",Springfield
"LINESTRING (-72.5395 42.1155, -71.4447 42.9848)",Hartford
"LINESTRING (-71.3217 42.6389, -71.4447 42.9848)",Lowell
"LINESTRING (-71.3217 42.6389, -71.3295 42.1163)",Manchester
"LINESTRING (-71.3295 42.1163, -71.4187 41.823)",Norfolk
"LINESTRING (-71.4187 41.823, -71.0852 42.3188)",Providence
"LINESTRING (-71.0852 42.3188, -70.9664 42.4781)",Boston
"LINESTRING (-70.9664 42.4781, -70.2715 43.6773)",Lynn
"LINESTRING (-70.2715 43.6773, -73.2316 44.4876)",Portland
"LINESTRING (-73.7987 42.6664, -75.9093 42.1014)",Burlington
"LINESTRING (-75.9093 42.1014, -73.9912 41.1542)",Binghamton
"LINESTRING (-76.3012 40.042, -75.1339 40.0077)",Lancaster
"LINESTRING (-74.1654 39.9895, -74.7641 40.2237)",Philadelphia
"LINESTRING (-74.7641 40.2237, -75.4756 40.5961)",Trenton
"LINESTRING (-75.4756 40.5961, -75.6649 41.4044)",Allentown
"LINESTRING (-75.6649 41.4044, -74.1725 40.7245)",Scranton
"LINESTRING (-74.1725 40.7245, -74.1913 40.6658)",Newark
"LINESTRING (-73.1954 41.1918, -73.8673 40.9466)",Elizabeth
"LINESTRING (-73.8673 40.9466, -73.9912 41.1542)",Yonkers
"LINESTRING (-74.1913 40.6658, -74.0686 40.7184)",New City
"LINESTRING (-74.0686 40.7184, -73.9249 40.6943)",Jersey City
"LINESTRING (-73.9249 40.6943, -73.6089 40.6629)",New York
"LINESTRING (-73.6089 40.6629, -73.2522 40.7839)",Hempstead
"LINESTRING (-73.2522 40.7839, -73.1954 41.1918)",Brentwood
"LINESTRING (-82.184 41.4409, -82.425 40.0706)",Saint John
"LINESTRING (-86.7842 36.1715, -83.9496 35.9692)",Newark
"LINESTRING (-86.7971 33.5279, -86.2668 32.3482)",Birmingham
"LINESTRING (-86.2668 32.3482, -84.1762 31.5776)",Montgomery
"LINESTRING (-84.1762 31.5776, -84.2527 30.4551)",Albany
"LINESTRING (-83.6974 32.8065, -84.422 33.7628)",Tallahassee
"LINESTRING (-84.422 33.7628, -84.3513 34.0391)",Atlanta
"LINESTRING (-84.3513 34.0391, -85.2481 35.066)",Roswell
"LINESTRING (-85.2481 35.066, -86.6412 34.6981)",Chattanooga
"LINESTRING (-86.6412 34.6981, -86.7971 33.5279)",Huntsville
"LINESTRING (-81.1821 32.0286, -82.0708 33.3645)",Macon
"LINESTRING (-82.0708 33.3645, -80.9036 34.0378)",Augusta
"LINESTRING (-82.3646 34.8354, -82.5537 35.5707)",Greenville
"LINESTRING (-82.4447 27.9945, -82.6652 27.7931)",Tampa
"LINESTRING (-82.6652 27.7931, -82.1977 27.0576)",St. Petersburg
"LINESTRING (-82.4447 27.9945, -81.9545 28.0557)",North Port
"LINESTRING (-82.6448 38.4592, -81.6322 38.3484)",Gainesville
"LINESTRING (-86.7842 36.1715, -87.3413 36.5692)",Nashville
"LINESTRING (-87.3413 36.5692, -86.4378 36.9716)",Clarksville
"LINESTRING (-86.4378 36.9716, -84.4587 38.0423)",Bowling Green
"LINESTRING (-85.6485 38.1663, -84.506 39.1413)",Louisville
